comparison,item,direct_count,group_count,combined_count,direct_per_1000_tokens,group_per_1000_tokens,difference_direct_minus_group_per_1000,log_ratio_direct_vs_group,log_likelihood_g2,dominant_modality,direct_tokens_denominator,group_tokens_denominator
direct_vs_group_psychosomatic,den,577,375,952,6.5404,4.7558,1.7846,0.459,23.5064,direct,88221,78851
direct_vs_group_psychosomatic,Bin,39,6,45,0.4421,0.0761,0.366,2.4413,23.4789,direct,88221,78851
direct_vs_group_psychosomatic,entschuldigt,1,20,21,0.0113,0.2536,-0.2423,-3.9346,23.2711,group,88221,78851
direct_vs_group_psychosomatic,über,144,215,359,1.6323,2.7267,-1.0944,-0.7386,23.238,group,88221,78851
direct_vs_group_psychosomatic,anrufen,61,16,77,0.6914,0.2029,0.4885,1.7361,23.2378,direct,88221,78851
direct_vs_group_psychosomatic,fühle,4,28,32,0.0453,0.3551,-0.3098,-2.825,23.0438,group,88221,78851
direct_vs_group_psychosomatic,Desktop,18,0,18,0.204,0.0,0.204,5.0475,22.9889,direct,88221,78851
direct_vs_group_psychosomatic,dein,18,0,18,0.204,0.0,0.204,5.0475,22.9889,direct,88221,78851
direct_vs_group_psychosomatic,hey,18,0,18,0.204,0.0,0.204,5.0475,22.9889,direct,88221,78851
direct_vs_group_psychosomatic,per,18,0,18,0.204,0.0,0.204,5.0475,22.9889,direct,88221,78851
direct_vs_group_psychosomatic,termin,18,0,18,0.204,0.0,0.204,5.0475,22.9889,direct,88221,78851
direct_vs_group_psychosomatic,geht,137,60,197,1.5529,0.7609,0.792,1.0224,22.8885,direct,88221,78851
direct_vs_group_psychosomatic,Spiegel,10,40,50,0.1134,0.5073,-0.3939,-2.1095,22.8005,group,88221,78851
direct_vs_group_psychosomatic,Zi,5,30,35,0.0567,0.3805,-0.3238,-2.6333,22.7295,group,88221,78851
direct_vs_group_psychosomatic,bisschen,30,3,33,0.3401,0.038,0.302,2.9614,22.714,direct,88221,78851
direct_vs_group_psychosomatic,12,97,36,133,1.0995,0.4566,0.643,1.2555,22.6212,direct,88221,78851
direct_vs_group_psychosomatic,eigenen,6,32,38,0.068,0.4058,-0.3378,-2.4839,22.57,group,88221,78851
direct_vs_group_psychosomatic,Termin,138,61,199,1.5643,0.7736,0.7906,1.0092,22.5669,direct,88221,78851
