comparison,item,direct_count,group_count,combined_count,direct_per_1000_tokens,group_per_1000_tokens,difference_direct_minus_group_per_1000,log_ratio_direct_vs_group,log_likelihood_g2,dominant_modality,direct_tokens_denominator,group_tokens_denominator
direct_vs_group_nonadjacent,muss,126,71,197,1.4282,0.8161,0.6122,0.803,14.8056,direct,88221,87002
direct_vs_group_nonadjacent,wirkt,7,29,36,0.0793,0.3333,-0.254,-1.9958,14.747,group,88221,87002
direct_vs_group_nonadjacent,wenn,307,216,523,3.4799,2.4827,0.9972,0.4861,14.6737,direct,88221,87002
direct_vs_group_nonadjacent,ob,203,131,334,2.301,1.5057,0.7953,0.6099,14.6578,direct,88221,87002
direct_vs_group_nonadjacent,grade,23,4,27,0.2607,0.046,0.2147,2.3646,14.5148,direct,88221,87002
direct_vs_group_nonadjacent,Deine,15,1,16,0.17,0.0115,0.1585,3.3492,14.5054,direct,88221,87002
direct_vs_group_nonadjacent,ft3,15,1,16,0.17,0.0115,0.1585,3.3492,14.5054,direct,88221,87002
direct_vs_group_nonadjacent,ft4,15,1,16,0.17,0.0115,0.1585,3.3492,14.5054,direct,88221,87002
direct_vs_group_nonadjacent,oh,15,1,16,0.17,0.0115,0.1585,3.3492,14.5054,direct,88221,87002
direct_vs_group_nonadjacent,deiner,18,2,20,0.204,0.023,0.181,2.8675,14.5009,direct,88221,87002
direct_vs_group_nonadjacent,hey,18,2,20,0.204,0.023,0.181,2.8675,14.5009,direct,88221,87002
direct_vs_group_nonadjacent,per,18,2,20,0.204,0.023,0.181,2.8675,14.5009,direct,88221,87002
direct_vs_group_nonadjacent,siehst,18,2,20,0.204,0.023,0.181,2.8675,14.5009,direct,88221,87002
direct_vs_group_nonadjacent,übrigens,18,2,20,0.204,0.023,0.181,2.8675,14.5009,direct,88221,87002
direct_vs_group_nonadjacent,mache,52,20,72,0.5894,0.2299,0.3595,1.3366,14.2901,direct,88221,87002
direct_vs_group_nonadjacent,Vielleicht,47,17,64,0.5328,0.1954,0.3374,1.4205,14.2146,direct,88221,87002
direct_vs_group_nonadjacent,weg,27,6,33,0.306,0.069,0.2371,2.0608,14.1639,direct,88221,87002
direct_vs_group_nonadjacent,rein,29,7,36,0.3287,0.0805,0.2483,1.9557,14.1348,direct,88221,87002
direct_vs_group_nonadjacent,Raum,19,49,68,0.2154,0.5632,-0.3478,-1.364,14.1227,group,88221,87002
